image,readingText,audio,answerText,answerTextFurigana,sortOrder,originalText
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Angel%20Beats!/media/Angel_Beats!_8_0.03.29.315.jpg"">",画面見てなっかたの,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Angel%20Beats!/media/Angel_Beats!_8_0.03.28.300-0.03.30.580.mp3],Weren't you looking at the screen?,画面[がめん] 見[み]てなっかたの,0,画面
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_16_0.11.36.095.jpg"">",全画面、火口の車内に,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_16_0.11.35.120-0.11.37.070.mp3],All screens on Higuchi's car.,全画面[ぜんがめん]、 火口[かこう]の 車内[しゃない]に,0,画面
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/Hyouka_10_0.17.12.490-0.17.14.100.jpg"">",画面に出てくる六人と,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/Hyouka_10_0.17.12.490-0.17.14.100.mp3],"The six who were being filmed, and the one who was operating the camera.",画面[がめん]に 出[で]てくる 六[ろく] 人[にん]と,0,画面
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__02_0.14.43.582.jpg"">",活気がないというか,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__02_0.14.42.393-0.14.44.771.mp3],to determine the next king. The place is lifeless.,活気[かっき]がないというか,1,活気
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_096_0.02.14.427.jpg"">",いい具合の活気ですね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_096_0.02.13.405-0.02.15.448.mp3],That's an excellent spirit they have.,いい 具合[ぐあい]の 活気[かっき]ですね,1,活気
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_01_0.13.24.210-0.13.26.400.jpg"">",あのお店活気があるね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_01_0.13.24.210-0.13.26.400.mp3],That place is really booming!,あの お 店[みせ] 活気[かっき]があるね,1,活気
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/One%20Week%20Friends/media/Isshuukan_Friends_(Test)_10_0.03.46.000.jpg"">",この句の下の句がわかる人,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/One%20Week%20Friends/media/Isshuukan_Friends_(Test)_10_0.03.44.380-0.03.47.620.mp3],"Okay, who knows the final line of this poem?",この 句[く]の 下[しも]の 句[く]がわかる 人[ひと],2,句
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Bakemonogatari/media/A_Bakemonogatari_E09_1_0.24.21.779.jpg"">",（火憐）　その句を知らない,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Bakemonogatari/media/A_Bakemonogatari_E09_1_0.24.21.362-0.24.22.196.mp3],I don't know anyone like that.,（ 火憐[かれん]）　その 句[く]を 知[し]らない,2,句
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Bakemonogatari/media/A_Bakemonogatari_E09_1_0.24.22.697.jpg"">",（月火）　この句を知らない？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Bakemonogatari/media/A_Bakemonogatari_E09_1_0.24.22.280-0.24.23.114.mp3],I don't know anyone like that.,（ 月火[つきひ]）　この 句[く]を 知[し]らない？,2,句
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_08_0.12.53.260-0.12.55.020.jpg"">",以後十分に注意しろ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_08_0.12.53.260-0.12.55.020.mp3],Be ever vigilant!,以後[いご] 十[じゅう] 分[ふん]に 注意[ちゅうい]しろ,3,以後
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_02_0.06.28.075.jpg"">",以後　お見知りおきを,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_02_0.06.27.170-0.06.29.030.mp3],It's an honour to make your acquaintance.,以後[いご]　お 見知[みし]りおきを,3,以後
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/New%20Game!/media/New_Game!_12_0.08.37.745.jpg"">",以後 気をつけます ねっ？,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/New%20Game!/media/New_Game!_12_0.08.36.600-0.08.38.890.mp3],We'll be more careful now. Right?,以後[いご] 気[き]をつけますねっ？,3,以後
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__06_0.03.36.124.jpg"">",百科事典 医学書に哲学書と―,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__06_0.03.34.977-0.03.37.271.mp3],"Dictionaries, medical books, philosophy books...",百科事典[ひゃっかじてん] 医学書[いがくしょ]に 哲学書[てつがくしょ]と―,4,事典
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_141_0.15.33.422.jpg"">",人名事典　倉庫から持ってきたの,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_141_0.15.32.045-0.15.34.798.mp3],A biographical dictionary... I  brought one from the storehouse.,人名[じんめい] 事典[じてん]　 倉庫[そうこ]から 持[も]ってきたの,4,事典
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_07_0.17.46.120-0.17.49.650.jpg"">",名前事典をパラパラめくって適当に名付けてしまったのだ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_07_0.17.46.120-0.17.49.650.mp3],"Consulting a name dictionary, he picked one completely at random for me.<br>Seishirou!",名前[なまえ] 事典[じてん]をパラパラめくって 適当[てきとう]に 名付[なづ]けてしまったのだ,4,事典
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Steins%20Gate/media/A_SteinsGateS01_E19_1_0.11.44.649.jpg"">",返せ 返せ 返せっ！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Steins%20Gate/media/A_SteinsGateS01_E19_1_0.11.42.960-0.11.46.338.mp3],Give it back! Give it back! Give it back!,返[かえ]せ 返[かえ]せ 返[かえ]せっ！,5,返
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad%20After%20Story/media/Clannad_after_story_01_0.15.01.375.jpg"">",取られたら　取り返しりゃいい,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Clannad%20After%20Story/media/Clannad_after_story_01_0.15.00.330-0.15.02.420.mp3],We just have to get it back.,取[と]られたら　 取[と]り 返[かえし]しりゃいい,5,返
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura09_1_0.17.35.256.jpg"">",借りてたＣＤ　返しに来たんだけど,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Cardcaptor%20Sakura/media/A_CardCaptorSakura09_1_0.17.33.837-0.17.36.674.mp3],I came by to return a CD I had borrowed.,借[か]りてた ＣＤ[しーでぃー]　 返[かえ]しに 来[き]たんだけど,5,返
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_19_0.18.35.630.jpg"">",行って来る？　森林浴,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_19_0.18.34.780-0.18.36.480.mp3],You wanna go on a hike?,行[い]って 来[く]る？　 森林浴[しんりんよく],6,浴
